,Owner_Type,Brand_Audi,Brand_BMW,Brand_Bentley,Brand_Chevrolet,Brand_Datsun,Brand_Fiat,Brand_Force,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_ISUZU,Brand_Jaguar,Brand_Jeep,Brand_Lamborghini,Brand_Land,Brand_Mahindra,Brand_Maruti,Brand_Mercedes-Benz,Brand_Mini,Brand_Mitsubishi,Brand_Nissan,Brand_Porsche,Brand_Renault,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen,Brand_Volvo,Model_Type_Hatchback,Model_Type_SUV/MUV/MPV,Model_Type_Sedan,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual,Z_Age,Z_Kilometers_Driven,Z_Mileage_Converted,Z_Engine,Z_Power,Z_Seats,Z_Price
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.100275511036451,0.6088446528956929,0.277483999755085,-1.265936477155569,-1.379484595084768,-0.32506825614769624,-1.49131520848189
1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-0.48039664941446936,-0.17934020267229522,0.4248702966800877,0.10086845639037079,0.4842473888087264,-0.32506825614769624,0.7954282873093821
2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.784141078946267,-0.018273143440572587,0.09453626975629673,-0.7215490314051484,-0.3640710197044505,-0.32506825614769624,-0.39283226329340326
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.4680066468560829,0.8737341105984205,0.6562907261729606,-0.6027135439118154,-0.36244416997115925,2.0916852436215922,-0.05823544404036108
4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1518722147658988,-0.1906519810910485,-0.6715185046365748,0.7486152672275479,0.7476206405503824,-0.32506825614769624,1.2026142983192163
5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.4680066468560829,0.6659848015491017,-2.0045826528750355,-1.8705600274103635,-1.5051533336892653,-0.32506825614769624,-1.1484402158400728
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.1518722147658988,0.8737180215488719,1.1047857432875277,-0.13520026614509886,-1.183353492912386,-0.32506825614769624,-0.6851306592919317
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.7965310815046535,-0.36138067296964504,-1.9099441479524064,1.7466634659415308,1.2221552193184275,3.0507910043078104,1.1867718951363353
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.1518722147658988,0.45335215875921525,0.6089330763099492,0.13072383003629007,0.009501583586584882,-0.32506825614769624,-0.2246729516213095
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.4680066468560829,0.48560851287281087,0.9585727733845284,-0.6027135439118154,-0.7999966214135901,-0.32506825614769624,-1.3654543200643101
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-1.4287999456850216,-0.8335677078924675,0.8150511560287665,-0.13317026078369745,0.0013599869089640864,-0.32506825614769624,0.5300648518805408
11,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4680066468560829,0.3536420107818044,-0.24587567400413404,-0.06298121832354857,0.2877025922801978,-0.32506825614769624,-0.3954197581340185
